Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD1,Kolkata,Gujarat Institute Of Technology,1st,Data Science,Google Form
LD2,Bangalore,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD3,Pune,Chandigarh University,1st,Data Science,Google Form
LD4,Kolkata,Indus University,1st,AI,WhatsApp
LD5,Jaipur,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD6,Bangalore,St Xaviers College,4th,Data Science,College Collaboration
LD7,Pune,St Xaviers College,4th,Data Science,Instagram
LD8,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,LinkedIn
LD9,Hyderabad,St Xaviers College,4th,Electric Vehicle,College Collaboration
LD10,Pune,St Xaviers College,3rd,AI,LinkedIn
LD11,Bangalore,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD12,Bangalore,Gujarat Institute Of Technology,3rd,Electric Vehicle,LinkedIn
LD13,Hyderabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,Mass-Mailing
LD14,Chandigarh,Chandigarh University,2nd,Electric Vehicle,Mass-Mailing
LD15,Pune,Gujarat Institute Of Technology,1st,Electric Vehicle,Google Form
LD16,Ahmedabad,Chandigarh University,3rd,Robotics,Mass-Mailing
LD17,Ahmedabad,Chandigarh University,2nd,Robotics,Google Form
LD18,Chandigarh,St Xaviers College,2nd,Data Science,WhatsApp
LD19,Hyderabad,Indus University,4th,AI,College Collaboration
LD20,Jaipur,St Xaviers College,1st,AI,Mass-Mailing
LD21,Kolkata,Gujarat Institute Of Technology,3rd,Electric Vehicle,Mass-Mailing
LD22,Surat,Gujarat Institute Of Technology,2nd,Data Science,LinkedIn
LD23,Pune,St Xaviers College,4th,Electric Vehicle,Google Form
LD24,Surat,Nirma University,4th,Data Science,Mass-Mailing
LD25,Ahmedabad,Gujarat Institute Of Technology,4th,AI,Mass-Mailing
LD26,Chandigarh,Nirma University,4th,Robotics,College Collaboration
LD27,Mumbai,Indus University,1st,AI,WhatsApp
LD28,Kolkata,Nirma University,1st,Data Science,Instagram
LD29,Mumbai,Chandigarh University,4th,Electric Vehicle,College Collaboration
LD30,Delhi,Gujarat Institute Of Technology,2nd,Robotics,WhatsApp
LD31,Chandigarh,Gujarat Institute Of Technology,1st,Electric Vehicle,LinkedIn
LD32,Hyderabad,Indus University,1st,Robotics,Google Form
LD33,Kolkata,CPET Academy,4th,Robotics,Google Form
LD34,Hyderabad,Indus University,1st,AI,WhatsApp
LD35,Mumbai,Gujarat Institute Of Technology,4th,Data Science,Instagram
LD36,Ahmedabad,Nirma University,4th,Data Science,Google Form
LD37,Mumbai,Nirma University,1st,AI,College Collaboration
LD38,Hyderabad,Gujarat Institute Of Technology,2nd,Robotics,LinkedIn
LD39,Chandigarh,Nirma University,3rd,Robotics,Google Form
LD40,Jaipur,Gujarat Institute Of Technology,1st,Data Science,Mass-Mailing
LD41,Pune,Nirma University,3rd,Electric Vehicle,Mass-Mailing
LD42,Ahmedabad,Indus University,1st,Data Science,Mass-Mailing
